LttAboutTheTransactionSectionId,ChangeableAmountAfterRelief,DateOfContract,IsClaimingTaxRelief
113499873289,7715,5/22/1959,1
378797577595,3994,10/14/1960,1
614316864753,8654,6/27/1962,0
178739527493,4856,8/2/1966,0
445785298835,4948,5/22/1969,1
264579733197,8981,8/27/1971,0
118356919497,4739,3/27/1972,0
874628194356,2652,9/3/1973,0
159356452687,9152,7/31/1974,1
999789613577,9359,5/14/1976,1
648192142484,5158,7/6/1977,1
528787373536,8959,3/5/1981,0
321139195223,6815,5/3/1982,0
346569199783,3648,12/7/1982,1
392424539814,3485,11/14/1986,0
424152147312,2995,7/19/1990,0
934867883894,8418,1/13/1992,0
143673669346,3779,6/6/1995,1
274133778428,7219,5/17/2000,0
854581375135,1321,11/21/2000,1
499954787565,6623,8/2/2006,1
389486655597,2788,11/17/2006,1
568114997583,3917,1/25/2008,0
361639321692,2642,4/24/2008,0
782861625815,7744,10/10/2008,0
967927766734,3832,10/25/1960,1
888984568389,9824,6/28/1962,1
284722424286,4684,7/31/1962,1
386197883493,2787,6/7/1965,0
475281635757,7262,8/15/1967,0
639556159974,5398,10/31/1969,1
915692971836,5854,9/1/1972,1
139477443341,4282,11/13/1974,0
178225515998,3952,9/30/1975,1
144891286123,6138,6/27/1977,1
475236963585,1224,9/21/1978,1
392541793798,7345,10/28/1982,0
572769896974,9882,10/13/1987,1
711863712928,7427,7/7/1988,0
846173315261,3169,1/17/1989,0
611334155461,3797,8/29/1989,0
333267138555,5471,5/29/1990,1
379417581739,8819,4/14/1992,0
342546297922,2338,1/31/1995,0
136189168989,8887,11/27/1995,0
697272133665,8632,5/13/1997,1
655617935349,1772,6/12/2000,1
515678296923,6142,7/14/2003,0
733168675634,8969,7/2/2007,1
561635689759,9539,10/27/2008,1
171527988965,7139,4/6/1956,1
576451985566,6658,7/26/1957,0
185366948592,9732,6/3/1960,0
375944259923,3349,11/29/1961,0
417917665382,5113,3/1/1963,0
233949565865,5963,6/5/1963,1
571675575299,3368,9/14/1964,1
281381189663,5413,6/14/1967,0
194573884335,5282,8/11/1967,1
434842712555,6224,12/14/1970,0
676444112453,8679,6/15/1971,0
474435879236,2271,6/29/1971,0
312259252331,5989,9/19/1973,0
811834421731,4565,9/19/1977,0
869169411862,2951,10/8/1979,0
458812884976,4348,5/16/1980,1
321827235377,1434,2/10/1981,1
797319811529,8127,12/15/1982,1
511176633712,9111,6/29/1984,0
434676618512,3479,6/25/1991,1
971334232624,9253,11/9/1998,0
929124712353,5853,3/21/2002,0
458599918475,4363,1/5/2005,1
564364721577,9666,8/14/2006,0
271417853435,8452,12/6/2006,1
238631194831,1683,5/30/1957,0
967999382345,2157,5/7/1958,0
842979881143,5763,4/4/1962,1
937456341875,9474,6/8/1962,1
995797658123,6655,2/23/1966,1
164683749726,3426,1/20/1971,1
131239556548,7233,6/14/1982,1
617624597382,8951,8/14/1987,1
417815334159,5839,8/31/1987,1
323391143739,7534,6/15/1988,1
354825134213,8998,11/18/1988,0
225911395941,8842,12/12/1989,1
197294871825,4237,3/20/1990,1
811347628994,4452,3/18/1992,1
367632782813,4991,2/15/1993,0
489692174592,4658,5/16/1997,0
434659133649,2451,4/28/1999,1
786253183993,6272,4/15/2002,0
679851651977,8344,5/19/2004,0
631974133335,8258,5/30/2006,1
165311317798,7567,11/28/2006,0
453539913374,5344,1/17/2007,0
496281581355,1638,6/22/2009,1
587848537377,6522,9/3/2010,1
588879444847,4537,12/10/2010,1
